Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Featuring free WiFi throughout the property, Na Shchiedrina is set in Minsk, 2.2 km from National Exhibition Centre BelExpo. National Academic Big Opera and Ballet Theatre is 2.7 km away.	Апартаменты «На Щедрина» расположены в Минске, в 2,2 км от Национального выставочного центра «БелЭкспо» и в 2,7 км от Большого театра оперы и балета Республики Беларусь. На всей территории апартаментов можно воспользоваться бесплатным Wi-Fi.
Bad Wörishofen Train Station is 450 metres from the hotel, while the A96 motorway is a 5-minute drive away.	До железнодорожного вокзала Бад-Верисхофена - 450 метров, а поездка до автомагистрали A96 займет 5 минут.
There is a fully equipped kitchen with an oven, a fridge and a microwave.	В распоряжении гостей полностью оборудованная кухня с духовым шкафом, холодильником и микроволновой печью.
Sited 4 miles from Will Rogers Downs, this Claremore, Oklahoma hotel has a continental breakfast and a 24-hour front desk to serve guests any time.	Мотель Claremore находится в штате Оклахома, всего в 6,5 км от гоночной трассы Уилл Роджерс Даун. К услугам гостей «континентальный завтрак» и круглосуточная стойка регистрации.
Hotel La Perla D'Olot is an official information point for Garrotxa Volcanic Zone Nature Reserve, and Montsacopa Volcano is 2 km away.	В отеле La Perla D'Olot гостям предоставят информацию о природном заповеднике и вулканической зоне Гарроча. До вулкана Монтсaкопа - 2 км.
Overlooking the sea, B&B Antica Lampetia offers air-conditioned rooms in Cetraro. It features a garden and free Wi-Fi in all areas.	Отель типа «постель и завтрак» Antica Lampetia находится в городе Четраро. К услугам гостей номера с кондиционером, сад и бесплатный Wi-Fi на всей территории отеля. Из окон открывается вид на море.
Dream Home Hostel 2 is less than a 10-minute ride from Victory Gate.	Хостел Dream Home 2 находится менее чем в 10 минутах езды от триумфальной арки Патусай.
Situated in Los Angeles, 3 km from Getty Center, Brentwood Apartment features free WiFi access and free private parking.	Апартаменты Brentwood расположены в Лос-Анджелесе, в 3 км от музейного комплекса Центр Гетти. К услугам гостей бесплатный Wi-Fi и бесплатная частная парковка.
Guests can enjoy a swim in the heated swimming pool or relax in the spa pool.	Гости могут поплавать в подогреваемом плавательном бассейне или расслабиться в гидромассажном бассейне.
The hotel has a gift shop and a tour desk.	В отеле работает сувенирный магазин и экскурсионное бюро.
With a satellite flat-screen TV and a fully equipped kitchen, apartments at Colle Vaticano have 2 bedrooms and a living room.	Апартаменты комплекса Colle Vaticano располагают 2 спальнями, гостиной, телевизором с плоским экраном и спутниковыми каналами, а также полностью оборудованной кухней.
The spacious, self-catering lodges feature a fully equipped kitchen, a dining area, a lounge, and a furnished veranda.	Просторные лоджи располагают полностью оборудованной кухней, обеденной зоной, гостиной и меблированной верандой.
Operating a 24-hour front desk to welcome guests, Hotel Vishal is located in Pune. The property offers free parking.	Отель Vishal расположен в старинном городе Пуна. К услугам гостей круглосуточная стойка регистрации и бесплатная парковка.
Madrid Experience has free WiFi, air conditioning and city views.	К услугам гостей апартаментов Madrid Experience бесплатный WiFi, кондиционер и вид на город.
The nearest airport is Khabarovsk Novy Airport, 11 km from the property.	Расстояние до ближайшего аэропорта Хабаровска «Новый» составляет 11 км.
All rooms are equipped with a luxurious bathroom, a seating area and a work desk.	В распоряжении гостей роскошная ванная комната, гостиный уголок и рабочий стол.
Breakfast in the room is possible upon request.	Завтрак в номер предоставляется по запросу.
Every room has a private bathroom and air conditioning.	В каждом номере с собственной ванной комнатой установлен кондиционер.
The Maharana Pratap International Airport is 181 km.	Расстояние до международного аэропорта имени Махарана Пратапа составляет 181 км.
The Alpine City Lounge consists of a bedroom with cable TV, a modern kitchen, a bathroom with bathrobes and hairdryer and an anteroom.	Alpine City Lounge состоит из спальни с кабельным телевидением, современной кухни, ванной комнаты с халатами и феном, а также прихожей.
Just metres from Tower Bridge, these apartments are a 10-minute walk from London Bridge Underground Station.	Апарт-отель разместился в нескольких метрах от Тауэрского моста и в 10 минутах ходьбы от станции метро London Bridge.
Free private parking is available on site.	На прилегающей территории обустроена бесплатная частная парковка.
Guests have access to a shared kitchen	Также в распоряжении гостей общая кухня.
Featuring free WiFi, Kuma Osaka Guesthouse offers accommodation in Osaka, 6 km from Tsutenkaku.	Гостевой дом Kuma Osaka, в котором работает бесплатный Wi-Fi, расположен в городе Осака, в 6 км от башни Цутэнкаку.
Tucked away in the beautiful Bavarian Forest 3 km from Zwiesel town centre, this guest house offers free Wi-Fi, bathrooms with heated floors and a spa and wellness area with a sauna and hot tub.	Этот гостевой дом притаился посреди живописного Баварского Леса, в 3 км от центра города Цвизель. В распоряжении гостей бесплатный WiFi, ванные комнаты с полами с подогревом, а также оздоровительный и спа-центр с сауной и гидромассажной ванной.
The Martinella offers 2 restaurants serving both Trentino and international dishes.	В отеле Martinella работают 2 ресторана, в которых гостям предложат как блюда региона Трентино, так и блюда интернациональной кухни.
A shared, fully equipped kitchen is available for the guests to use.	Все гости могут пользоваться полностью оборудованной общей кухней.
At the beach is is possible to play football and volleyball.	На пляже можно поиграть в футбол и волейбол.
It offers 5-star facilities that include a variety of elegant and well-appointed rooms and suites reflecting a contemporary Malaysian style, with sweeping views over Andaman Sea and Gunung Mat Chinchang rainforest.	Пятизвездочный отель предоставляет для проживания элегантные, хорошо оборудованные номера и люксы различных типов, оформленные в современном малайзийском стиле. Из номеров открывается потрясающий вид на Андаманское море и влажный тропический лес Гунунг-Мат-Чинчанг.
Stirling Youth Hostel provides 4-star accommodation in the historic quarter of Stirling, situated next to the Victorian Old Town Jail.	Четырехзвездочный молодежный хостел Stirling расположен в историческом квартале города Стерлинга, рядом с викторианским зданием бывшей тюрьмы на территории Старого города.
The towns of Igoumenitsa and Parga are 23 km away.	Вилла находится в 23 км от городов Игуменица и Парга.
Guests who are driving can enjoy private parking subject to availability and for a fee.	При наличии возможности и за отдельную плату гостям предоставляется частная парковка.
It is set in a residence with swimming pool and wellness centre.	В этом же здании работает бассейн и оздоровительный центр.
The nearest airport is Warsaw Chopin Airport, 7 km from Top Floor Hostel.	Расстояние от хостела Top Floor до международного аэропорта имени Фредерика Шопена — 7 км.
For your comfort, you will find bathrobes and free toiletries.	Гостям предоставляют халаты и бесплатные туалетно-косметические принадлежности.
The Dolce Vita Funchal shopping centre is a 9-minute drive and features shops, boutiques, cinemas and an ample food court.	В 9 минутах езды от виллы находится торговый центр Dolce Vita Funchal, где гости могут посетить магазины, бутики, кинотеатры и ресторанный дворик.
The hotel is 500 metres from Thamel Market, 3 km from Swayambhunath and 6 km from Pashupatinath Temple.	Отель находится в 500 метрах от рынка Тамель, в 3 км от храмового центра Сваямбунатх и в 6 км от храма Пашупатинатх.
Ratchathewi BTS is a 20-minute drive away.	В 20 минутах езды находится станция Ratchathewi наземного метро BTS Skytrain.
Rooms are fitted with a flat-screen TV with cable channels.	Все номера оснащены телевизором с плоским экраном и кабельными каналами.
Guests benefit from balcony, offering views of the city and the sea.	С балкона открывается вид на город и море.
Free WiFi is available throughout the property.	На всей территории предоставляется бесплатный Wi-Fi.
There is a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Each bright room has a balcony or terrace.	Светлые номера отеля располагают балконом или террасой.
If you feel like visiting the surroundings, check out the Red Beach at 3.2 km.	Желающие ознакомиться с окрестностями могут посетить Красный пляж в 3,2 км от комплекса.
Guests are welcome to go walking and jogging in the Stötteritzer Park, just 400 metres away.	Гости смогут прогуляться или совершить пробежку по парку Штеттерицзер, всего в 400 метрах от апартаментов.
The guest rooms offer free WiFi.	В номерах предоставляется бесплатный Wi-Fi.
The kitchens are complete with an oven, stove, fridge and extractor fan.	Кухни оборудованы плитой, духовкой, холодильником и вытяжкой.
This inn features barbecue facilities.	К услугам гостей принадлежности для барбекю.
There is a games room on site and guests can enjoy the on-site restaurant and bar.	В распоряжении гостей комната для игр, ресторан и бар.
Situated in a quiet corner of Kettlewell with picturesque views of Upper Wharfedale, this large Edwardian house has free Wi-Fi and free parking on site.	Этот большой эдвардианский дом находится в тихом уголке Кеттлуэлла, а из его окон открывается живописный вид на долину Аппер-Уорфдейл. К услугам гостей бесплатный WiFi и бесплатная парковка на территории.
Grocery shops and restaurants can be found within walking distance and free Wi-Fi access is provided.	Гости могут пользоваться бесплатным Wi-Fi, прогулка до продуктовых магазинов и ресторанов занимает несколько минут.
You can enjoy garden view.	Из окон открывается красивый вид на сад.
Bali Hai Pier Marina is less than 2 km away.	Пристань Бали Хай Пир находится менее чем в 2 км.
Extras include bed linen.	В стоимость проживания входит постельное белье.
Shower facilities are provided in the en suite bathroom.	Помимо этого, в них имеется ванная комната с душем.
Hotel Zur Post Bad Kötzting is a historic 17th-century building. The elegant non-smoking rooms all include satellite TV, a seating area and a private bathroom.	Отель Zur Post Bad Kötzting занимает историческое здание 17 века и располагает элегантными номерами для некурящих со спутниковым телевидением, гостиной зоной и собственной ванной комнатой.
Offering an outdoor pool, Villa Marta is located in Augustów. Free WiFi access is available in this homestay.	Комплекс с проживанием в семье Villa Marta расположен в городе Августов. К услугам гостей открытый бассейн и бесплатный Wi-Fi.
Free parking and free WiFi are available. The apartments are situated in different locations in the 12th district of Vienna.	Апартаменты находятся по разным адресам в 12-м районе Вены. К услугам гостей бесплатная парковка и бесплатный WiFi.
The nearest airport is Paris - Orly Airport, 10 km from Hotel Foz.	Расстояние от отеля Foz до аэропорта Париж-Орли составляет 10 км.
You can enjoy breakfast at a table outside on the seafront promenade.	Гости могут насладиться завтраком за столиками, расположенными под открытым небом на морской набережной.
Free cable internet is available. Free private parking is possible on site.	К услугам гостей открытый бассейн, бесплатный кабельный Интернет, а также бесплатная частная парковка на территории.
Free private parking is available on site.	На прилегающей территории обустроена бесплатная частная парковка.
Situated in Beskydy Protected Landscape Area, a 15-minute walk away from Nový Jičín, Hotel Na Skalkách offers a traditional Czech restaurant and cottages with a terrace.	Отель Na Skalkách расположен в охраняемой ландшафтной зоне Бескидах, в 15 минутах ходьбы от городка Новый Йичин. К услугам гостей традиционный ресторан чешской кухни и коттеджи с террасой.
Pensión Boutique Caravan Cinema is located in Bilbao.	Гостевой дом Boutique Caravan Cinema находится в городе Бильбао.
All rooms include a private bathroom.	Все гости пользуются собственной ванной комнатой.
The Lofoten Aquarium and the Lofot Museum are both a 5-minute drive away.	Аквариум Лофотена и музей Лофот расположены в 5 минутах езды на автомобиле.
Featuring a hairdryer, private bathroom also comes with slippers.	Собственная ванная комната укомплектована тапочками и феном.
The bed and breakfast is next to Via Laietana and is 5 minutes’ walk from Barcelona’s charming Gothic Quarter.	Помимо этого, возле отеля типа "постель и завтрак" проходит проспект Виа-Лаетана, а прогулка до очаровательного Готического квартала Барселоны занимает 5 минут.
The renowned Portimão Museum is 1.5 km away from the property.	Известный музей Портимана находится в 1,5 км от апартаментов.
This stylish, adults-only hotel is situated on the seafront with stunning views over Palma Bay and direct access to a natural cove. Barceló Albatros offers a spa, an outdoor pool and hot tub and a range of massage treatments.	Этот стильный отель только для взрослых Barceló Albatros со спа-салоном, открытым бассейном, гидромассажной ванной и различными видами массажа расположен на морском побережье с великолепным видом на залив Бадия-де-Пальма и прямым выходом в природную бухту.
Offering an outdoor swimming pool, Residence by Uga Escapes is located just 900 metres from the famous Sri Lanka National Museum.	Отель Residence by Uga Escapes с открытым бассейном находится всего в 900 метрах от знаменитого Национального музея Шри-Ланки.
The staff, available 24 hours a day, assists with car and bike rentals and offers concierge services.	Сотрудники круглосуточной стойки регистрации организуют прокат автомобилей и велосипедов, а также услуги консьержа.
Spacious, luxurious, and sumptuously furnished, each room at Claridge’s boasts a luxury marble bathroom and peaceful views of the courtyard.	Просторные, роскошные и шикарно меблированные номера отеля Claridge’s с видом на тихий внутренний двор располагают великолепными мраморными ванными комнатами.
Buzios Bus Station is also 1 km away.	Расстояние до городского автобусного вокзала и пляжей Прайя Азеда и Прая Жуан Фернандеш составляет 1 км.
The Anne Frank house is a 10-minute walk.	А до дома-музея Анны Франк можно дойти за 10 минут.
Featuring a garden with BBQ facilities and children’s playground, Santa Croce offers rooms in a peaceful location a 10-minute drive from Fossato di Vico.	Фермерский дом Santa Croce с садом с принадлежностями для барбекю и детской игровой площадкой расположен в тихом месте, в 10 минутах езды от Фоссато-ди-Вико.
Free wired or wireless internet is available.	Гостям предоставляется бесплатный проводной доступ в Интернет и Wi-Fi.
Hôtel Christiania is situated in Val d’Isère in the Rhône-Alps Region.	Отель Christiania находится на территории горнолыжного курорта Валь-д'Изер в регионе Рона-Альпы.
Featuring free WiFi and a fitness centre, Microtel Inn & Suites by Wyndham Brush offers accommodation in Brush.	Мини-гостиница Microtel by Wyndham Brush расположена в городе Браш. К услугам гостей бесплатный Wi-Fi и фитнес-центр.
Featuring panoramic views across the Atlantic Ocean, the Ballycroy Bungalow is less than 5 km from the village of Ballycroy. The town of Westport is less than an hour’s drive away.	Бунгало Ballycroy с панорамным видом на Атлантический океан находится менее чем в 5 км от поселка Балликрой, примерно в 1 часе езды от города Уэстпорт.
All rooms at The Westin Doha feature the signature Heavenly Bed, a flat-screen TV with satellite channels, seating area, work desk and a minibar.	Во всех номерах спа-отеля The Westin Doha находится фирменная кровать Heavenly, телевизор с плоским экраном и спутниковыми каналами, гостиный уголок, рабочий стол и мини-бар.
This comfortable hotel is located in the town of Bahia Kino, just 500 metres from the Gulf of California.	Этот комфортабельный отель расположен в городе Баия-Кино, всего в 500 метрах от Калифорнийского залива.
Mandarin Shopping Centre is 1 km away.	Торговый центр «Мандарин» работает в 1 км.
Located close to Revolution Park, the 3-star JI Hotel Xi'an Railway Station features accommodation with free Wi-Fi. It houses a tour desk and a business centre.	Трехзвездочный отель JI Xi'an Railway Station расположен недалеко от парка Революции. К услугам гостей номера с бесплатным Wi-Fi, туристическое бюро и бизнес-центр.
An indoor pool and hot tub are offered at Lake Geneva Mill Creek Hotel.	В числе удобств отеля Mill Creek крытый бассейн и гидромассажная ванна.
Gibraltar is 1 hour’s drive away.	До Гибралтара - 1 час езды.
This hotel is located in the Litchfield area of Pawleys Island, South Carolina, near Myrtle Beach.	Этот отель расположен в районе Литчфилд на острове Паули (Южная Каролина), недалеко от города Мертл-Бич.
Set in a renovated country mansion from 1932 in De Haan, B&B Convent offers classic rooms with free Wi-Fi. It features an on-site bicycle rental service and a sun terrace for breakfast.	Отель типа "постель и завтрак" Convent занимает отреставрированный загородный особняк постройки 1932 года в городке Де-Хаан. К услугам гостей номера в классическом стиле с бесплатным Wi-Fi, пункт проката велосипедов и солнечная терраса, где подают завтрак.
There is also an Irish Pub in the hostel.	На территории хостела также есть ирландский паб.
There is also a kitchenette, fitted with a microwave. A refrigerator is also offered, as well as a coffee machine and a kettle.	Мини-кухня оснащена микроволновой печью, холодильником, кофемашиной и чайником.
Just 300 metres to the Ayder Hot Springs, Memisoglu Konak Hotel is 80 km to Rize city centre.	Отель Memisoglu Konak находится всего в 300 метрах от термальных источников Айдера и в 80 км от центра города Ризе.
There is a sauna on the premises that can be used at an extra charge.	На территории хостела имеется сауна, за посещение которой взимается дополнительная плата.
Some rooms have Lake Van views.	Из некоторых из них открывается вид на озеро Ван.
At the restaurant, guests can enjoy several seafood dishes and other Mediterranean specialities.	В ресторане подают вкусные морепродукты и другие блюда средиземноморской кухни.
All the rooms have balconies.	Все номера оборудованы балконами.
There are 2 shared living rooms at the property, one with table football and and a fireplace and the other with a library.	В распоряжении гостей 2 общие гостиные: одна — с настольным футболом и камином, а другая — с библиотекой.
Every room is equipped with a flat-screen TV with satellite channels.	Все номера оборудованы телевизором с плоским экраном и спутниковыми каналами.
This stylish hotel offers an outdoor pool, an art gallery and free Wi-Fi.	В этом стильном отеле есть открытый бассейн, художественная галерея и бесплатный Wi-Fi.
A variety of fresh fruits, breads and cold meats are offered, as well as tea, coffee and cold drinks.	Завтрак состоит из разнообразных свежих фруктов, хлеба, мясного ассорти, чая, кофе и прохладительных напитков.
Kaunas is 24 km away.	Расстояние до города Каунас составляет 24 км.
The Pantheon is a 3-minute walk away. The banks of River Tiber are 400 metres from the property.	Прогулка от отеля до Пантеона займет 10 минут, а расстояние до берега реки Тибр составляет 400 м.
A daily breakfast buffet is served in the hotel restaurant.	В ресторане ежедневно сервируется завтрак «шведский стол».
Organized tours to the area’s most prestigious distilleries and vineyards, as well as Foie Gras workshops can be organized upon request.	По запросу для гостей организуют туры по самым знаменитым коньячным заводам и виноградникам, а также мастер-классы по приготовлению печени фуа-гра.
Guests can relax in the shared lounge.	Гости могут отдохнуть в общем лаундже.
Free Wi-Fi is offered.	К услугам гостей гидромассажная ванна и бесплатный WiFi.
Guests can cook at the fully equipped kitchens.	Гости могут готовить пищу на полностью оборудованной кухней.
Split Train and Bus Station, as well as the Split Ferry Terminal are a 10-minute walk from the Split Theatre Apartment.	Железнодорожный и автобусный вокзал Сплита, а также паромный терминал расположены в 10 минутах ходьбы от комплекса Split Theatre Apartment.
Odessa Opera and Ballet Theatre and Odessa Port can be reached in just a 5-minute drive from the apartments.	Одесский театр оперы и балета и Одесский порт находятся всего в 5 минутах езды от апартаментов.
Caretta Resort is located in Toroni, 39 km from Ouranoupoli and 25 km from Vourvourou.	Курортный комплекс Caretta расположен в курортном поселке Торони, в 39 км от города Уранополи и в 25 км от населенного пункта Вурвуру.
It features a garden with outdoor pool, children's playground and BBQ facilities.	К услугам гостей сад с открытым бассейном, детской площадкой и принадлежностями для барбекю.
The nearest airport is Split Airport, 63 km from Apartments Glibić 3567.	Расстояние от апартаментов Glibić 3567 до аэропорта города Сплит составляет 63 км.
The shared bathrooms are in the hallway.	Общие ванные комнаты находятся в коридоре.
The indoor swimming pool offers year-round relaxation and water aerobics classes.	В крытом плавательном бассейне круглый год проходит аквааэробика.
Complete with a refrigerator, the dining area also has an electric kettle and a dining table.	В числе прочих удобств — обеденная зона с холодильником, электрическим чайником и обеденным столом.
The Robert Crown Wilderness Area is 2 miles from downtown New Port Richey. The Richey Suncoast Theatre is 1 minute away.	В 3,2 км от центра города Нью-Порт Ричи находится природный заповедник Роберт Краун, а в 1 минуте езды - театр Ричи-Санкоуст.
The bathroom is private and has a shower.	В числе прочих удобств собственная ванная комната с душем.
Edwardu Apartment offers accommodation in Birżebbuġa, 50 metres from the beach and 9 km from Valletta. The property features views of the sea is 13 km from St Julian's.	Апартаменты Edwardu с видом на море расположены в городе Бирзеббуджа, в 50 метрах от пляжа, в 9 км от города Валлетта и в 13 км от города Сент-Джулианс.
Niš City View Guest House is 12 km from Niška Banja. Constantine the Great Airport is 7 km from the property.	Муниципалитет Нишка-Банья находится в 12 км, а аэропорт Константин Великий — в 7 км от гостевого дома Niš City View.
There is a terrace, and free Wi-Fi is provided.	В отеле сооружена терраса и предоставляется бесплатный Wi-Fi.
A 5-minute walk away is designer boutique and hip restaurants including Ku Dé Ta, Living Room and Hu’u Bar.	Виллы находятся в 5 минутах ходьбы от дизайнерского бутика и модных ресторанов и баров, среди которых Ku Dé Ta, Living Room и Hu’u.
Located at the foot of the Swabian Alps and surrounded by forests, this hotel offers spacious rooms and large breakfast buffets. It lies in the quiet village of Öschingen.	В этом отеле, расположенном среди лесов у подножия Швабских Альп, в тихой деревне Эшинген, к услугам гостей просторные номера и обильный завтрак «шведский стол».
Each guest room at the Maple Terrace Motel features cable TV with DVD player, a writing desk, and a refrigerator.	В числе удобств каждого номера мотеля Maple Terrace — кабельное телевидение, DVD-плеер, рабочий стол и холодильник.
Hotel Chateau Kvareli is located in the centre of Kvareli town, a 15-minute walk from Ilia Lake.	Отель «Шато Кварели» расположен в центре города Кварели, в 15 минутах ходьбы от озера Ильи.
Located in Arkhangelsk, this apartment features free WiFi.	Апартаменты с бесплатным Wi-Fi расположены в Архангельске.
The property offers free parking.	Помимо этого, на территории предлагается бесплатная парковка.
Khmer and Western dishes are served at the on-site restaurant and bar.	Блюда кхмерской и западной кухни вам предложат в ресторане и баре на территории.
The three-bedroom accommodation will provide a TV, a terrace and a seating area.The kitchen comes fully equipped with a dishwasher and a microwave.	В распоряжении гостей 3 спальни, терраса и гостиный уголок. В числе удобств дома телевизор.Полностью оборудованная кухня оборудована посудомоечной машиной и микроволновой печью.
The restaurant serves Swiss and international cuisine and many regional specialities.	В ресторане подают блюда швейцарской и интернациональной кухни, а также различные региональные блюда.
Each room here will provide guests with air conditioning, a balcony and a small patio.	В числе удобств каждого номера кондиционер, балкон и небольшой внутренний двор.
Östersund is 75 minutes’ drive away.	До Эстерсунда можно доехать за 75 минут.
Top Gun Raceway is 20 minutes' drive from the motel.	До гоночной трассы «Топ Ган» можно доехать за 20 минут.
Free WiFi is available in the entire apartment.	На всей территории апартаментов предоставляется бесплатный WiFi.
Offering ski rentals and ski to door access, this Rossland lodge is 45 km away from West Kootenay Regional Airport.	Эта мини-гостиница при ресторане находится в городе Россланд, в 45 км от регионального аэропорта Вест Кутеней. Прямо от порога мини-гостиницы можно отправиться кататься на лыжах.
A continental breakfast is offered each morning.	Кроме того, каждое утро в отеле сервируется континентальный завтрак.
You will find a shared kitchen at the property.	Гости могут самостоятельно готовить на общей кухне.
The Parke Tropical Zoo is 15 minutes from the San Marco Hotel and Casino.	Поездка от отеля и казино San Marco до Тропического зоопарка занимает 15 минут.
Hotel Relais Charles-Alexandre is across the street the Discovery Pavilion of the Plains of Abraham and the Musée national des beaux-arts du Québec.	Отель Relais Charles-Alexandre находится через дорогу от павильона «Дискавери» парка «Поля Абраама», а также от Национального музея изящных искусств Квебека.
You can walk to Rubicón Marina in 8 minutes. The centre of Playa Blanca is 12 minutes from the hotel on foot.	Прогулка до пристани для яхт «Рубикон» занимает 8 минут, а до центра Плая-Бланки — 12 минут.
A microwave and refrigerator are provided, and in-room ironing facilities are offered.	В распоряжении гостей микроволновая печь, холодильник и гладильные принадлежности.
This property is 83 km from Thessaloniki.	Расстояние до города Салоники составляет 83 км.
The kitchen is modern and includes built-in appliances and a dining table with 7 chairs.	Современная кухня оснащена встроенной техникой и обеденным столом с 7 стульями.
This holiday home is 65 km from Olbia Costa Smeralda Airport.	Расстояние до аэропорта Коста-Смеральда составляет 65 км.
A 15-minute car ride from Grand Hotel leads to Jamtos Mall.	Поездка на автомобиле от отеля Grand до торгового центра Jamtos занимает 15 минут.
6 restaurant serves authentic Cantonese and Fujian dishes.	6 подают блюда кантонской и фуцзяньской кухни.
Factory Outlets and Calico Ghost Town are both 10 minutes’ drive from the Barstow Route 66 Hotel.	От отеля Barstow Route 66 можно за 10 минут доехать до центров распродаж Factory и города-призрака Калико.
Located in Cusco’s historic centre, in front of San Pedro market, Antares Mystic Hotel offers free Wi-Fi and American breakfast. A terrace with panoramic views is featured.	Отель Antares Mystic расположен в историческом центре Куско, напротив рынка Сан-Педро. К услугам гостей бесплатный WiFi, американский завтрак и терраса с панорамным видом.
Guests can make travel arrangements, or get assistance with luggage storage, ironing and laundry services at the reception.	На стойке регистрации гости могут заказать экскурсии, воспользоваться камерой хранения багажа, а также заказать гладильные услуги и услуги прачечной.
Savignyplatz City Rail Station is a 5-minute walk from Artus Apartments.	Путь от апарт-отеля Artus до городского железнодорожного вокзала Завигниплац занимает 5 минут пешком.
The property offers a free shuttle service to Platja d’Aro and Aquadiver Waterpark, set within 2 km of the property.	Помимо прочего, гостям предоставляется бесплатный трансфер в Кастель-Пладжа-де-Аро и в аквапарк Аквадайвер, которые находятся в пределах 2 км от кемпинга.
A continental breakfast in served every morning free of charge in the kitchen.	Каждое утро на кухне хостела предоставляется бесплатный континентальный завтрак.
A variety of restaurants serving traditional or international food can also be found in the vicinity.	Неподалеку работают многочисленные рестораны традиционной и интернациональной кухни.
A ski pass is available at the front desk.	На стойке регистрации можно купить ски-пассы.
All units feature a flat-screen TV.	Все апартаменты оснащены телевизором с плоским экраном.
Free shuttle services from the airport and the railway station are provided on request.	По запросу предоставляется бесплатный трансфер от аэропорта и железнодорожного вокзала.
Every morning, a varied breakfast buffet is served in the dining room.	По утрам в обеденном зале сервируется разнообразный завтрак «шведский стол».
Guests can also relax on Dawn Beach, receive an en-suite massage or hire their own private chef.	Гости также могут отдохнуть на пляже Даун Бич, расслабиться во время сеанса массажа в номере или воспользоваться услугами индивидуального повара.
For convenience, airport shuttle services are available at a surcharge.	За дополнительную плату организуется трансфер от/до аэропорта.
In the morning at Chambres d'Hôtes Labyrinth, a continental breakfast is served.	По утрам в отеле Chambres d'Hôtes Labyrinth сервируется континентальный завтрак.
Staff can recommend nearby cafés for breakfast.	Персонал гостиницы может порекомендовать близлежащие кафе, где можно позавтракать.
House Katia is located in Kálamos and offers self-catering accommodation.	Апарт-отель House Katia расположен на острове Каламос.
On request, guests at Villa Olivia can enjoy an Italian or American breakfast, including a typical Genoan focaccia.	По запросу на вилле Olivia подают американский или итальянский завтрак с традиционными генуэзскими лепешками-фокачча.
A buffet breakfast is served in a spacious lounge room and at the garden.	В просторном лаундже и в саду для гостей накрывают завтрак «шведский стол».
Grand Bali Beach Golf Course is within 5 minutes’ walk of Dewi Dewi Villas, while Le Mayeur Museum and Sanur Beach are both a 15-minute walk from the property. Ngurah Rai International Airport is 35 minutes’ drive away.	Поле для гольфа Grand Bali Beach находится в 5 минутах ходьбы, музей Ле Майера и пляж Санур - в 15 минутах ходьбы, а Международный аэропорт Нгурах-Рай - в 35 минутах езды от вилл Dewi Dewi.
It offers an outdoor pool with a sun-lounger terrace, a landscaped garden and free Wi-Fi in all areas.	К услугам гостей открытый бассейн с террасой и шезлонгами, ландшафтный сад и бесплатный WiFi на всей территории.
At Casale Sambuceto Country House you will find a garden and barbecue facilities.	В распоряжении гостей загородного дома Casale Sambuceto сад и принадлежности для барбекю.
Hova Hotel & Restaurant is 5 minutes’ walk from Hova Train Station.	Прогулка от отеля-ресторан Hova находится до железнодорожного вокзала Ховы займет 5 минут.
Each week, a new lunchtime menu is available.	Каждую неделю предоставляется новое обеденное меню.
A hairdryer is also provided in the rooms.	Кроме того, предоставляется фен.
Hot drinks, cocktails and snacks are available during the day in the indoor bar.	В течение дня в баре отеля гостям предлагают горячие напитки, коктейли и закуски.
Served in the patio in fine weather, breakfast here includes sweet and savoury products.	Каждое утро готовят завтрак из закусок и сладостей. В хорошую погоду его накрывают в патио.
Opatija is 36 km away.	Расстояние до города Опатия составляет 36 км.
Free parking is available nearby.	Бесплатная парковка находится неподалеку.
The castles around Füssen lie only 20 km away.	Замки возле города Фюссена находятся в 20 км.
