Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
This country house is 70 km from Federico Garcia Lorca Granada-Jaen Airport.	Этот загородный дом находится в 70 км от аэропорта им. Федерико Гарсиа Лорки Гранада-Хаэн.
Some rooms are fitted with traditional futon bedding, while others have Western beds.	В некоторых номерах уложены традиционные матрасы футоны, а в других установлены кровати в западном стиле.
The Sport Vital Hotel’s sports programme includes guided hiking and mountain bike tours, aqua gymnastics, and activities such as yoga and pilates.	Спортивная программа спорт-отеля Vital включает организованные походы и туры на горных велосипедах, аквааэробику, а также занятия йогой и пилатесом.
All guests can enjoy panoramic mountain views from their south-west facing balcony.	Балкон в апартаментах выходит на юго-запад. С балкона открывается панорамный вид на горы.
It features a luxury spa centre and rooms with an LCD TV and free WiFi access.	К услугам гостей номера, оснащенные ЖК-телевизором и бесплатным Wi-Fi, а также роскошный спа-центр.
There is a spacious lounge to spend time with friends and a small Library Lounge where guests can read a good book and have a cup of coffee or tea.	Гости могут провести время с друзьями в просторном лаундже или почитать книгу и выпить чашечку кофе или чая в небольшом лаундже с библиотекой.
A Continental breakfast buffet with fresh breads, pastries, fruits, cereals and sliced cold meats is offered for GBP 9.50.	По утрам для гостей сервируется континентальный завтрак «шведский стол», состоящий из булочек, выпечки, фруктов, мюслей и мясного ассорти. Стоимость завтрака составляет 9,5 фунтов стерлингов.
Apartments Hollaj is set in a peaceful part of Ulcinj, only 200 metres from Small Beach and pine forest.	Апартаменты Hollaj расположены в тихой части города Улцинь, всего в 200 метрах от пляжа Смол-Бич и соснового леса.
Guests have access to free WiFi in all areas and free public parking is available on site.	Во всех зонах действует бесплатный Wi-Fi. На территории обустроена бесплатная общественная парковка.
Bed linen and towels are provided.	Гостям предоставляются полотенца и постельное белье.
All apartments have a private furnished balcony and a kitchen with dining area.	Во всех апартаментах в вашем распоряжении собственный меблированный балкон и кухня с обеденной зоной.
All rooms offer splendid garden views.	Из каждого номера открывается великолепный вид на сад.
Located 200 metres from Caicó's AABB, Pousada Bom Gosto offers free Wi-Fi in public areas, 24-hour front desk service and a restaurant.	Гостевой дом Pousada Bom Gosto находится в 200 метрах от спортивно-развлекательного комплекса AABB в городе Кайко. К услугам гостей бесплатный Wi-Fi в местах общего пользования, круглосуточная стойка регистрации и ресторан.
Each room at this inn is air-conditioned and has a flat-screen cable TV and a kettle.	В числе удобств номеров кондиционер, телевизор с плоским экраном и кабельными каналами, а также чайник.
The accommodation features a large garden and a shared lounge with TV.	К услугам гостей большой сад и общий лаундж с телевизором.
Each offers a spacious living room with a flat-screen TV, while the kitchen includes an oven, a stove and a fridge.	Все они располагают просторной гостиной с телевизором с плоским экраном, а также кухней с духовкой, плитой и холодильником.
All rooms at The Denman include central heating, cable TV and a DVD player.	Во всех номерах отеля Denman в распоряжении гостей центральное отопление, кабельное телевидение и DVD-плеер.
At Pichepehuen guests will find barbecue and laundry facilities.	Гости дома для отпуска Pichepehuen могут воспользоваться стиральной машиной и принадлежностями для барбекю.
Simonovskiy Val Apartment offers accommodation in Moscow. The apartment is 3.8 km from Gorky Park.	Апартаменты «Симоновский вал» расположены в Москве, в 3,8 км от парка имени Горького.
The rooms are built out of natural materials like brick, wood and bamboo.	Номера построены с применением натуральных материалов, включая кирпич, дерево и бамбук.
There is also a kitchen, equipped with an oven. A refrigerator and stovetop are also offered, as well as a kettle.	Кухня укомплектована духовкой, холодильником, плитой и чайником.
At Aix Suite Location you will find a garden and a terrace.	На территории здания апартаментов Aix Suite Location разбит сад и обустроена терраса.
From the property, the popular Tower Bridge and Tower of London are 2.3 miles away and Cambridge Heath Train Station is a 5-minute walk to the north.	Расстояние до популярного Тауэрского моста и Тауэра составляет 3,7 км, а до железнодорожного вокзала Кембридж-Хит следует пройти в северном направлении всего 5 минут.
It consists of sweet food including croissants and cappuccino.	Он состоит из сладких блюд и включает круассаны с капучино.
The restaurant serves multi cuisine dishes, including Indian, Chinese and western choices.	В ресторане подаются блюда интернациональной кухни, в том числе блюда индийской, китайской и западной кухонь.
The property is situated in a convenient location close to attractions such as Blue Mosque and Hagia Sophia.	Дом находится в удобном месте, рядом с такими достопримечательностями, как Голубая мечеть и собор Святой Софии.
Local restaurants and supermarkets can be reached on foot in 5 minutes. Trogir city centre and the marina are a 15-minute walk away.	Местные рестораны и супермаркеты расположены в 5 минутах ходьбы от апартаментов. До центра города Трогир и порта можно дойти за 15 минут.
This family-run hotel is located 3 km from Leipzig Central Train Station and 5 minutes’ drive from Leipzig city centre.	Этот семейный гостевой дом находится в 3 км от центрального железнодорожного вокзала Лейпцига, в 5 минутах езды от центра города Лейпцига.
Chinatown is 13 minutes’ walk away.	Прогулка до Китайского квартала занимает 13 минут.
Located near national highways, the guesthouse is a 17-minute drive to Águeda, a 22-minute drive to Aveiro and a 40-minute drive to Coimbra.	Гостевой дом находится рядом с национальными автомагистралями, в 17 минутах езды от города Агеда, в 22 минутах от города Авейру и в 40 минутах езды от первой столицы Португалии - города Коимбры.
Each room comes with satellite TV, a minibar and a bathroom with a hairdryer and a shower or a tub.	Все номера располагают телевизором со спутниковыми каналами, мини-баром и ванной комнатой с феном и душем или ванной.
This medieval-themed hostal offers personalised rooms a shared lounge with a fireplace and flat-screen TV.	Гостевой дом оформлен в средневековом стиле. В нем есть индивидуально декорированные номера с общей гостиной, камином и телевизором с плоским экраном.
The nearest airport is Ben Gurion Airport, 19 km from the property.	До аэропорта имени Бен-Гуриона — 19 км.
The Sklep 57 has a garden, children’s playground, a bike storage room and free on-site parking for up to 4 cars.	Кроме того, в числе удобств дома для отпуска Sklep 57 сад, детская игровая площадка, помещение для хранения велосипедов и бесплатная парковка вместимостью до 4 автомобилей.
Pianeta Oro Avamposto Meteo also includes a sun terrace.	К услугам гостей комплекса Pianeta Oro Avamposto Meteo терраса для загара.
A fitness centre and swimming pool are available and free of charge.	Фитнес-центр и бассейн можно посещать бесплатно.
Ben Siesta provides excellent facilities and affordable luxury in serene surroundings, plus the comfort of home.	Прекрасно оснащенные апартаменты Ben Siesta - это сочетание доступной роскоши, спокойной атмосферы и домашнего уюта.
All apartments at Lapland Hotel Ounasvaara Chalets feature a private terrace and a living room with satellite TV.	Во всех апартаментах Lapland Ounasvaara Chalets имеется собственная терраса и гостиная со спутниковым телевидением.
Le Clos du Père Finet B&B is just over a 10-minute drive from Redu.	От гостевого дома типа «постель и завтрак» Le Clos du Père Finet - чуть более 10 минут езды до деревни Редю.
Offering light, elegant rooms and a 2 AA Rosette restaurant, Yeovil Court is less than 10 minutes’ drive from Yeovil’s centre.	В отеле к услугам гостей светлые, элегантные номера и 2 ресторана, удостоенных розочки ресторанного гида Автомобильной Ассоциации Великобритании. Отель Yeovil Court находится менее чем в 10 минутах езды от центра Йеавила.
A 1-minute walk from Shiomi Train Station, APA Hotel Tokyo Shiomi Ekimae offers western-style rooms with free wired internet and WiFi access.	В отеле APA Tokyo Shiomi Ekimae, расположенном в 1 минуте ходьбы от железнодорожного вокзала Сиоми, к услугам гостей номера в западном стиле с бесплатным проводным доступом в Интернет и Wi-Fi.
German beers and wines can be enjoyed on the terrace or in the conservatory.	На террасе или в зимнем саду можно приятно провести время за кружкой немецкого пива или бокалом вина.
Set within an impressive turreted granite building in the exclusive West End of Aberdeen, these fully-serviced luxury suites have been awarded 4 Diamonds from the RAC.	Отель расположен в величественном гранитном здании с башенкой в фешенебельном районе на западе Абердина. Он удостоен 4 "алмазов" по рейтингу RAC. К услугам гостей роскошные люксы с полным обслуживанием.
All units share bathroom facilities.	Все номера располагают общими ванными комнатами.
The bathroom includes bath, shower, bidet and a hairdryer.	В ванной комнате есть ванна, душ, биде и фен.
Horse riding is available on site and free parking is also provided.	На территории фермы желающие могут заняться конным спортом. Предусмотрена бесплатная парковка.
The Sanctuary Lounge offers refreshing cocktails and various dishes in a buffet or à la carte style.	В лаундже Sanctuary подают освежающие коктейли и разнообразные блюда в формате "шведского стола" или по меню.
Kings Lynn Golf Club is 1.5 miles away and historical Castle Rising can be reached in 5 minutes’ drive.	До гольф-клуба Кингс Линн 2,5 км, а до исторического замка Рост можно доехать за 5 минут.
With a rustic feel and wood beamed ceilings, every apartment features a seating area and dining table.	В числе удобств апартаментов в деревенском стиле с балочным потолком гостиный уголок и обеденный стол.
Traditional cuisine can be sampled in La Quietat’s on-site restaurant.	В ресторане на территории отеля La Quietat подают блюда традиционной кухни.
The spacious restaurant serves Hungarian cuisine.	В просторном ресторане подают блюда венгерской кухни.
Lake Geneva and Nyon are both an 8-minute drive away.	Поездка до Женевского озера и Ньона занимает 8 минут.
Talamanca Beach is 150 metres away.	Пляж Таламанка находится в 150 метрах.
Located in the centre of town, Warrego Hotel Motel Cunnamulla features a restaurant and air-conditioned rooms with a flat-screen TV.	Отель и мотель Warrego Cunnamulla находится в центре города. К услугам гостей ресторан и номера с кондиционером и телевизором с плоским экраном.
Towels are featured.	Гостям предоставляются полотенца.
A continental breakfast is served every morning.	Каждое утро гостям сервируют континентальный завтрак.
All units open to a balcony with unobstructed sea views.	Во всех апартаментах имеется балкон, откуда открывается прекрасный вид на море.
Free Parking is also available.	Гостям, путешествующим на автомобиле, предоставляется бесплатная парковка.
The gym’s fitness instructors can advise and help guests reach their goals.	Фитнес-инструкторы в тренажерном зале всегда готовы помочь гостям подобрать правильную нагрузку.
Located in Moraira, just 600 metres form Cala del Portitxolet Beach, Villa Oceano holiday home offers a beautiful garden, a covered terrace with barbecue facilities and an outdoor pool.	Дом для отпуска Villa Oceano находится в городе Морайра, всего в 600 метрах от пляжа Кала-дель-Портитксолет. К вашим услугам красивый сад, крытая терраса с принадлежностями для барбекю и открытый бассейн.
Offering an outdoor pool, barbecue and sun terrace, Pera Villalari is set in Kemer in the Mediterranean Region Turkey Region.	Вилла Pera Villalari с открытым бассейном и террасой для загара находится в курортном городе Кемер Средиземноморского региона Турции. Гости могут воспользоваться принадлежностями для барбекю.
There is also a kitchen, fitted with an oven and fridge.	В числе удобств кухня с духовкой и холодильником.
A seating area and private bathroom with shower and hairdryer are included.	В числе удобств гостиная зона и собственная ванная комната с душем и феном.
The nearest airport is Tbilisi International Airport, 11 km from Lilika Apartment at Shoropani.	Расстояние от апартаментов «Лилика на ул. Шорапани» до международного аэропорта Тбилиси составляет 11 км.
Toulon is 47 km from Villa Valdor.	Тулон находится в 47 км от виллы Valdor.
Some rooms are complete with a spa bath.	В некоторых номерах имеется гидромассажная ванна.
Free Wi-Fi access is provided.	Предоставляется бесплатный Wi-Fi.
A bicycle can be rented at an additional cost.	За дополнительную плату можно воспользоваться прокатом велосипедов.
Lek House comfortable rooms with a cable TV.	Постояльцам гостевого дома Lek House предлагается проживание в комфортабельных номерах с кабельным телевидением.
The rooms come with a TV and a private bathroom.	В номерах в распоряжении гостей телевизор и собственная ванная комната.
The nearest airport is Malaga Airport, 22 km from the property.	Расстояние до аэропорта Малаги составляет 22 км.
Featuring a shower, private bathrooms also come with slippers and towels.	К услугам гостей собственная ванная комната с душем, а также тапочками и полотенцами.
Hot Park Water Park is 28 km away.	Аквапарк на горячих термальных источниках «Хот-Парк» находится в 28 км от отеля.
Deluxe Apartment mit Balkon is a self-catering accommodation located in Freiburg im Breisgau.	Апартаменты Deluxe mit Balkon с собственной кухней расположены в городе Фрайбург-им-Брейсгау.
Public parking is possible on site at an additional cost.	За дополнительную плату гости могут пользоваться общественной парковкой.
Bed linen and towels are provided.	Гостям предоставляется постельное белье и полотенца для рук.
Housed in a historic building in Durango’s historic centre, this hotel has free Wi-Fi connection, babysitting services, luggage storage, and meeting rooms.	К услугам гостей отеля Posada San Agustin, расположенного в историческом здании в историческом центре города Дуранго, бесплатный WiFi, камера хранения багажа и конференц-залы. В отеле также предоставляются услуги няни.
Heating and a safe are also provided.	Среди прочих удобств - отопление и сейф.
A public computer station with printing services is available, as well as laundry facilities.	В распоряжении гостей общественный компьютерный терминал с принтером, а также прачечная.
It features a rooftop swimming pool, free Wi-Fi and a buffet restaurant.	К услугам гостей бассейн на крыше, бесплатный WiFi и ресторан с обслуживанием в формате «шведский стол».
Free WiFi is provided throughout the property.	На всей территории работает бесплатный Wi-Fi.
The nearest airport is Côte d'Azur Airport, 22 km from the property.	Расстояние до аэропорта Ницца Лазурный Берег составляет 22 км.
Each room has a seating area and a private bathroom.	В номерах также имеется гостиная зона и собственная ванная комната.
A buffet breakfast is offered each morning at Château Les 4 Saisons and it can also be served in the guest rooms.	Ежедневно в отеле Château Les 4 Saisons сервируется завтрак «шведский стол», а также осуществляется доставка завтрака в номер.
Wow Hills also houses a beautiful outdoor garden with seating areas and barbeque facilities are available upon request.	Рядом с гостевым домом Wow Hills разбит красивый сад с зоной отдыха. По запросу гостям предоставляются принадлежности для приготовления барбекю.
It takes 15 minutes to drive to Belorussky Train Station, from which you can get to Sheremetyevo International Airport by Aeroexpress.	За 15 минут вы доедете до Белорусского железнодорожного вокзала, откуда можно добраться на поезде «Аэроэкспресс» до Международного аэропорта Шереметьево.
Free WiFi is available throughout.	На всей территории можно воспользоваться бесплатным Wi-Fi.
The nearest airport is Marina di Campo Airport, 7 km from Appartamento La Sorgente.	Расстояние от апартаментов La Sorgente до ближайшего аэропорта Эльба составляет 7 км.
Rhinelander/Oneida County Airport is 30 minutes’ drive away. The Lake of the Torches Casino is can be reached in 40 minutes’ drive.	В 30 минутах езды находится аэропорт Райнлендер/Онайда Каунти, а за 40 минут можно доехать до казино Lake of the Torches.
Hotel Cristina overlooks the wonderful Bay of Naples and Mount Vesuvius.	Из отеля Cristina открывается вид на Везувий и живописный Неаполитанский залив.
Traditional Russian food is served in the Vechnyy Zov Hotel’s à la carte restaurant with pretty conservatory.	Гости отеля «Вечный зов» могут посетить ресторан с обслуживанием меню с очаровательным зимним садом, где подают традиционные блюда русской кухни.
A 10-minute walk from the beach, Lakeside Gardens Apartment is located in Bogazici area of Bodrum.	Апартаменты Lakeside Gardens находятся в 10 минутах ходьбы от пляжа в районе Богазичи в Бодруме.
Guests can start their day with a rich buffet breakfast.	Гости могут начать свой день с обильного завтрака "шведский стол".
The next restaurant can be found 1 km from Appartement Schmittenweg and a grocery shop is 1.6 km away.	Ближайший ресторан находится в 1 км от апартаментов Schmittenweg, а расстояние до продуктового магазина составляет 1,6 км.
The French Partridge restaurant offers an à-la-carte menu, including tapas and traditional dishes with a modern twist.	В ресторане отеля French Partridge гостей обслуживают по меню. Здесь вам предложат тапас и традиционные блюда, приготовленные на современный манер.
You can enjoy city view.	Из апартаментов открывается вид на город.
The accommodation provides an equipped kitchen and a seating area.	Дом для отпуска располагает оборудованной кухней и гостиной зоной.
Ferienwohnungen Moosbrugger also includes a terrace.	Кроме того, в комплексе Ferienwohnungen Moosbrugger есть терраса.
Laundry and fax/photocopy services are available as well.	Кроме того, в отеле предоставляются прачечные услуги и услуги факса/ксерокопирования.
Guests can enjoy local dishes at the onsite restaurant.	В ресторане на территории гости смогут заказать блюда местной кухни.
At Apartment Casa Alpina you will find a garden.	На территории здания апартаментов Casa Alpina разбит сад.
The attached bathroom includes hot/cold shower facility, towels and free toiletries.	В собственной ванной комнате с горячим/холодным душем предоставляются полотенца и бесплатные туалетно-косметические принадлежности.
Decorated with white linens and wood furniture, all rooms include ironing facilities.	Каждый номер укомплектован белоснежным постельным бельем и обставлен деревянной мебелью.
The hotel is an ideal base for exploring the beautiful Copper Canyon region.	Отель является идеальной отправной точкой для изучения красивого региона Медного каньона.
Situated 5 minutes’ walk from Kristianstad Train Station, this property offers free Wi-Fi access and rooms with TVs and work desks. Kristianstad Theatre is a 2-minute walk away.	Этот отель типа "постель и завтрак" расположен в 5 минутах ходьбы от железнодорожного вокзала города Кристианстада и в 2 минутах ходьбы от городского театра. К услугам гостей номера с телевизором и рабочим столом, а также бесплатный Wi-Fi.
The nearest airport is Milan Linate Airport, 8 km from B&B La Terrazza Sul Quartiere Isola.	Расстояние от отеля La Terrazza Sul Quartiere Isola до аэропорта Милан Линате составляет 8 км.
Guests can relax in the outdoor hot tub or on the patio under the gazebo.	Также в распоряжении гостей отеля открытая гидромассажная ванна и беседка во внутреннем дворе.
There is a full kitchen with a microwave and an oven in this air-conditioned unit.	В вашем распоряжении полностью оборудованная кухня с микроволновой печью и плитой.
Other facilities offered include a tour desk, dry cleaning and a laundry.	В вашем распоряжении экскурсионное бюро, химчистка и прачечная.
The property offers free parking.	На территории обустроена бесплатная парковка.
The well-lit, spacious rooms with wood floors feature a balcony, flat-screen TV, air conditioning, seating area, wardrobe, minibar and private bathroom.	Просторные и хорошо освещенные номера отеля имеют деревянный пол и располагают балконом, телевизором с плоским экраном, кондиционером, гостиным уголком, шкафом для одежды, мини-баром и собственной ванной комнатой.
Guests of Inn La Cuesta are greeted by a 24-hour reception and the hotel provides free afternoon coffee, tea and cookies.	В отеле Inn La Cuesta работает круглосуточная стойка регистрации, а для гостей предлагается бесплатный послеобеденный кофе, чай и печенье.
Yevpatoriya is 30 km away and the Simferopol Airport is 80 km away.	Расстояние до города Евпатории составляет 30 км, а до аэропорта Симферополя — 80 км.
The chalet also provides free Wi-Fi internet access in the public areas, disability access and a ski locker.	Среди прочих удобств шале — бесплатный Wi-Fi в местах общего пользования и запирающиеся шкафчики для лыж. Шале подходят для гостей с ограниченными физическими возможностями.
The nearest metro station at Kobylisy, on line C, is set 500 metres from Hotel Libuše, and it offers connections towards Prague Main Train Station and the centre of the city.	Расстояние от отеля Libuše до ближайшей станции метро Kobylisy (линия С), от которой можно добраться до Центрального железнодорожного вокзала Праги и центра города, составляет 500 метров.
The spacious, soundproofed rooms feature carpeted floors and large windows.	Гостям предлагается размещение в просторных звукоизолированных номерах с ковровым покрытием и большими окнами.
The property is within a 10-minute walk of Piazza della Signoria square, Uffizi Gallery and Florence Cathedral.	Апартаменты находятся в 10 минутах ходьбы от площади Синьории, галереи Уффици и кафедрального собора Санта-Мария-дель-Фьоре.
There is a shared kitchen at the property.	Среди удобств общая кухня.
Zarzis Airport is 18 km away.	Аэропорт Зарзис находится в 18 км.
Located on top of a dune and commanding pretty sea views, this offers modern rooms with free Wi-Fi.	К услугам гостей этого отеля, расположенного на вершине дюны с прекрасным видом на море, современные номера с бесплатным Wi-Fi.
Shops and restaurants can be found within 1 km and the nearest city, Thisted, is in 20 km.	На расстоянии 1 км работает несколько магазинов и ресторанов, а ближайший город, Тистед, находится в 20 км.
It offers free parking and air-conditioned rooms with satellite TV and free Wi-Fi.	К услугам гостей бесплатная парковка и номера с кондиционером, спутниковым телевидением и бесплатным Wi-Fi.
Set in the Umbrian countryside, Castello Izzalini Todi Resort offers rustic-style apartments.	Загородный дом Castello Izzalini Todi Resort расположен в загородной местности Умбрии. В распоряжении гостей апартаменты в загородном стиле.
Hotel Parque Zabal is located 100 metres from Fusagasuga town centre.	Отель Parque Zabal расположен в 100 метрах от центра города Фусагасуга.
A good selection of restaurants is available in the surrounding area.	В окрестностях расположено множество ресторанов.
The beachfront restaurant serves delicious local and international dishes, and offers free Wi-Fi.	В прибрежном ресторане с бесплатным Wi-Fi подают блюда местной и интернациональной кухни.
All air-conditioned rooms include balcony, a flat-screen cable TV, a phone and a minibar.	Во всех номерах к услугам гостей кондиционер, балкон, телевизор с плоским экраном и кабельными каналами, телефон и мини-бар.
Free WiFi and private parking are also available.	Предоставляется бесплатный Wi-Fi и бесплатная частная парковка.
Featuring a bath or shower, the private bathroom also comes with a hairdryer.	В собственной ванной комнате с ванной или душем предоставляется фен.
There is a full kitchen with a microwave, refrigerator and an oven.	Кроме того, обустроена полностью оборудованная кухня с микроволновой печью, холодильником и духовым шкафом.
Rooms feature views of the swimming pool or the garden, while some also offer a private terrace.	Из окон номеров открывается вид на бассейн или сад, а в некоторых есть собственная терраса.
The nearest airport is Odessa International Airport, 13 km from the property.	Расстояние до международного аэропорта Одессы составляет 13 км.
You will enjoy the restaurant room of the camp park decorated in a nautical style.	Зал ресторана кемпинга оформлен в морском стиле.
It also includes a fridge-freezer and a coffee machine.	К услугам гостей холодильник с морозильной камерой и кофемашина.
Offering an outdoor pool and seasonal outdoor pool, Villa Rosanna is set in Colico in the Lombardy Region, 5 km from Piona Abbey.	Вилла Rosanna расположена в городе Колико, в регионе Ломбардия, в 5 км от аббатства Пиона. К услугам гостей открытый плавательный бассейн и открытый бассейн сезонного использования.
Simply furnished rooms at the guest house offer a fan and shared bathroom with shower facilities.	Гостям номеров, оформленных в лаконичном стиле, предоставляются вентилятор и общая ванная комната с душем.
The hotel can offer vegetarian alternatives and is happy to cater to any dietary requirements with prior request.	Кроме того, в отеле могут приготовить вегетарианские блюда и удовлетворить любые диетические потребности по предварительному запросу.
Bed linen is provided.	Гостям предоставляется постельное белье.
Free Wi-Fi and a flat-screen cable TV are included in all suites.	Во всех люксах в распоряжении гостей бесплатный WiFi и телевизор с 37-дюймовым плоским экраном и кабельными каналами.
A buffet breakfast is available in the hotel’s bright dining room, which features floor-to-ceiling windows.	В светлом обеденном зале отеля, с окнами от пола до потолка, подают завтрак "шведский стол".
Set in the pretty village of Kempsey, The Walter de Cantelupe Inn offers individually decorated, stylish rooms.	Отель типа «постель и завтрак» Walter de Cantelupe Inn расположен в красивой деревне Кемпси. К услугам гостей стильные номера с оригинальным оформлением.
Come and stay in the Hotel Castellina and take it easy in the modern and comfortable rooms.	Отдохните в современных комфортабельных номерах отеля Castellina.
Oristano is 46 km from Sa Lumenaria da Raimonda, while Nuoro is 38 km from the property.	Отель типа «постель и завтрак» Sa Lumenaria da Raimonda находится в 46 км от коммуны Ористано и в 38 км от коммуны Нуоро.
A TV is offered.	В распоряжении гостей телевизор.
At Residenza Ondanomala you will find a garden.	Помимо прочего, при комплексе Residenza Ondanomala разбит сад.
The historical centre of Le Pontet, home place to the Château de Fargues, is within easy reach.	Исторический центр Ле Понте, где расположен замок Шато-де-Фарг, находится в пределах легкой досягаемости.
Park Named after Anna Akhmatova is within a 5-minute walk of the property.	До парка имени Анны Ахматовой можно добраться пешком за 5 минут.
Jenbach can be reached with a unique steam cog railway.	До города Йенбах можно добраться, воспользовавшись уникальным фуникулером на паровой тяге.
Gästehaus Hugo offers a packed lunch service for guests wishing to explore the area.	Гостям, желающим осмотреть окрестности, предлагаются упакованные ланчи.
Campo de’ Fiori square, with its pubs and historic food market is 300 metres away.	На площади Кампо-де-Фьори (в 300 метрах) находятся бары и исторический продовольственный рынок.
The private bathroom is stocked with toiletries and a hairdryer.	В собственной ванной комнате предоставляются туалетно-косметические принадлежности и фен.
The accommodation will provide you with a TV and air conditioning.	Этот дом для отпуска располагает телевизором и кондиционером.
The property offers free parking.	Гостям предоставляется бесплатная парковка.
Featuring free WiFi, Easy Housing offers accommodation in Prague.	Хостел Easy Housing находится в Праге. К услугам гостей бесплатный Wi-Fi.
The shores of Lake Trasimeno can be reached in a 1-hour drive.	Поездка до берега озера Тразимено занимает 1 час.
The property offers free parking.	На территории обустроена бесплатная парковка.
Offering an outdoor pool and an indoor pool, Green Park Punta 2 offers self-catering accommodation 500 metres from Solanas beach area, 5 km from downtown Punta del Este.	Апарт-отель Green Park Punta 2 расположен в 500 метрах от пляжной зоны Соланас и в 5 км от центра города Пунта-дель-Эсте. К услугам гостей крытый и открытый бассейны и апартаменты с собственной кухней.
Staff at the 24-hour front desk readily assists guests with services such as bicycle and car rental, as well as laundry services which include dry cleaning.	Сотрудники круглосуточной стойки регистрации организуют прокат автомобилей и велосипедов, а также услуги прачечной и химчистки.
The classic-style apartment is air conditined and has satellite TV.	Апартаменты оформлены в классическом стиле и оборудованы кондиционером, также подключено спутниковое телевидение.
Bühl train Station is 7 km away, and there is a bus stop directly in front of the guest house.Strasbourg International Airport just 70 km away from the property and Stuttgart Airport is 73 km away.	Местные автобусы останавливаются напротив гостевого дома. Расстояние до железнодорожного вокзала Бюля составляет 7 км, до международного аэропорта Страсбург – 70 км, а до аэропорта Штутгарт – 73 км.
Each room at the Hansestern has a private bathroom and a TV with satellite channels.	Все номера отеля Hansestern располагают собственной ванной комнатой и телевизором со спутниковыми каналами.
Each room has a basin and there are 2 shared bathrooms with a shower for communal use.	Гости могут пользоваться 2 общими ванными комнатами с душем.
Nestled away amidst peaceful nature surroundings, Great Roots Forestry Spa Resort features a hot spring bath and elegantly furnished guestrooms with complimentary bottled water.	Курортный спа-отель Great Roots Forestry расположен в тихом природном месте. К услугам гостей горячие минеральные источники, изысканно оформленные номера и бесплатная бутилированная вода.
At Top Hotel you will find a 24-hour front desk, while there is a vending machine in the lobby.	Стойка регистрации отеля Top работает круглосуточно. В лобби отеля установлен автомат по продаже напитков и закусок.
Garretstown is 20 minutes’ drive from The Old Bank Town House.	Пляж Гарретстаун находится в 20 минутах езды от таунхауса The Old Вank.
Each unit features a flat-screen TV, a fridge, a microwave, a kettle and kitchenware.	Во всех номерах/домах имеются телевизор с плоским экраном, холодильник, микроволновая печь, чайник и кухонные принадлежности.
Hakuba Train Station is a 10-minute drive as well, and the Hakuba Onsen hot springs can be enjoyed a 40-minute drive away.	Также в 10 минутах езды расположен железнодорожный вокзал Хакуба, а в 40 минутах езды - горячие источники Хакуба Онсен.
Featuring modern Thai décor, guest rooms at the hotel have attached bathrooms with hot shower facilities. Each room is equipped with a TV and minibar.	Номера оформлены в современном тайском стиле и располагают ванной комнатой с горячим душем, телевизором и мини-баром.
This property features both free WiFi and free private parking.	На территории обустроена бесплатная частная парковка и предоставляется бесплатный Wi-Fi .
Tripoli Town is 19 km from the property, while Athens City is 160 km away.	Расстояние до Триполи составляет 19 км, а до Афин — 160 км.
The property is 26 km from Klaipėda and boasts views of the garden.	До Клайпеды 26 км. Из окон открывается вид на сад.
